Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
9516;AS Schlüsselfeld;9;BY;A;3;;AS Schlüsselfeld;N;AS Höchstadt-Nord;S;624396,561;5510197,515
9517;AS Höchstadt-Ost;9;BY;A;3;;AS Höchstadt-Ost (B470);N;AS Erlangen-West;S;635846,919;5503322,551
9518;AS Erlangen-West;9;BY;A;3;;AS Erlangen-West;N;AS Erlangen-Frauenaurach;S;639614,073;5493366,704
9519;AS Erlangen-Tennenlohe;9;BY;A;3;;AS Erlangen-Tennenlohe (B4);N;AS Nürnberg-Nord (B2);S;649440,361;5488130,168
9520;AS Nürnberg-Nord;9;BY;A;3;;AS Nürnberg-Nord (B2);N;AS Nürnberg/Behringersdorf (B14);S;655594,207;5484514,203
9521;AS Nürnberg/Behringersd.;9;BY;A;3;;AS Nürnberg/Behringersdorf (B14);N;AS Nürnberg-Mögeldorf;S;657854,389;5482571,572
9522;AS Feuchtwangen-Nord;9;BY;A;6;;AS Aurach (B14);O;AS Feuchtwangen-Nord (B25);W;602906,421;5456681,496
9523;AS Aurach;9;BY;A;6;;AS Herrieden;O;AS Aurach (B14);W;606884,937;5456209,673
9524;AS Ansbach;9;BY;A;6;;AS Lichtenau;O;AS Ansbach (B13);W;619188,337;5456606,699
9525;AS Neuendettelsau (W);9;BY;A;6;;AS Neuendettelsau;O;AS Lichtenau;W;627208,478;5462224,526
9526;AS Neuendettelsau;9;BY;A;6;;AS Schwabach-West (B466);O;AS Neuendettelsau;W;634791,814;5464204,391
9527;AS Nürnbg.-Langwasser (W);9;BY;A;6;;AS Nürnberg-Langwasser;O;AK Kreuz Nürnberg Süd (A73);W;655828,823;5472410,704
9528;AS Amberg-Ost;9;BY;A;6;;AS Schmidgaden;O;AS Amberg-Ost (B85);W;717563,941;5478727,414
9529;AS Wasserlosen;9;BY;A;7;;AS Wasserlosen (B303);N;AK Kreuz Schweinfurt/Werneck (A70/B26a);S;576433,766;5543565,114
